PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,CIN,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,CN,SI,IR,FIR,CON,TT,RIN,EIN,COIS,GN,OID
23314866,NLM,MEDLINE,20130701,20130114,1869-1889 (Electronic) 1674-7305 (Linking),56,1,2013 Jan,Four recombinant pluripotency transcriptional factors containing a protein transduction domain maintained the in vitro pluripotency of chicken embryonic stem cells.,40-50,10.1007/s11427-012-4426-4 [doi],"Long-term in vitro maintenance of embryonic stem cell (ESC) pluripotency enables the pluripotency and differentiation of ESCs in animals to be investigated. The ability to successfully maintain and differentiate chicken embryonic stem cells (cESCs) would provide a useful tool for avian biology research and would be a resource directly applicable to agricultural production. In this study, endogenous chicken pluripotency transcription factors, POUV, Sox-2, Nanog and Lin28 were cloned and expressed as recombinant proteins containing a nine consecutive arginine protein transduction domain (PTD). cESCs were cultured with these recombinant proteins to maintain cESC pluripotency in vitro. Cultured cESCs exhibited typical characteristics of pluripotency, even after six generations of rapid doubling, including positive staining for stage-specific embryonic antigen I, and strong staining for alkaline phosphatase. Expression levels of the pluripotency markers, POUV, Nanog, C-Myc, Sox-2 and Lin28 were the same as in uncultured stage X blastoderm cells, and most significantly, the formation of embryoid bodies (EBs) by 6th generation cESCs confirmed the ability of these cultured cESCs to differentiate into cells of all three embryonic germ layers. Thus, transcription factors could be translocated through the cell membrane into the intracellular space of cESCs by using a PTD of nine consecutive arginines and the pluripotency of cESCs could be maintained in vitro for at least six generations.",,"['Yu, MiaoYing', 'Lian, Song', 'Han, HongBing', 'Yu, Kun', 'Li, GuiGuan', 'Lian, ZhengXing', 'Li, Ning']","['Yu M', 'Lian S', 'Han H', 'Yu K', 'Li G', 'Lian Z', 'Li N']","['National Key Laboratory of AgroBiotechnology, China Agricultural University, Beijing, 100193, China.']",['eng'],,['Journal Article'],20130112,China,Sci China Life Sci,Science China. Life sciences,101529880,"['0 (Avian Proteins)', '0 (Homeodomain Proteins)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Recombinant Fusion Proteins)', '0 (SOXB1 Transcription Factors)', '0 (Transcription Factors)', '103107-01-3 (Fibroblast Growth Factor 2)', '147336-22-9 (Green Fluorescent Proteins)', 'EC 2.7.7.49 (TERT protein, human)', 'EC 2.7.7.49 (Telomerase)']",IM,,"['Animals', 'Avian Proteins/genetics/*metabolism', 'Binding Sites/genetics', 'Blotting, Western', 'Cell Differentiation/genetics', 'Cell Proliferation/drug effects', 'Chickens', 'Embryonic Stem Cells/cytology/*metabolism', 'Fibroblast Growth Factor 2/pharmacology', 'Green Fluorescent Proteins/genetics/metabolism', 'HEK293 Cells', 'Homeodomain Proteins/genetics/metabolism', 'Humans', 'Leukemia Inhibitory Factor/pharmacology', 'Microscopy, Fluorescence', 'Pluripotent Stem Cells/cytology/*metabolism', 'Recombinant Fusion Proteins/genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'SOXB1 Transcription Factors/genetics/metabolism', 'Telomerase/genetics/metabolism', 'Time Factors', 'Transcription Factors/genetics/*metabolism']",,,2013/01/15 06:00,2013/07/03 06:00,['2013/01/15 06:00'],"['2012/05/09 00:00 [received]', '2012/10/31 00:00 [accepted]', '2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/07/03 06:00 [medline]']",['10.1007/s11427-012-4426-4 [doi]'],ppublish,Sci China Life Sci. 2013 Jan;56(1):40-50. doi: 10.1007/s11427-012-4426-4. Epub 2013 Jan 12.,,,,,,,,,,,,,
23314845,NLM,MEDLINE,20130709,20170622,1531-7048 (Electronic) 1065-6251 (Linking),20,2,2013 Mar,Has umbilical cord blood transplantation for AML become mainstream?,144-9,10.1097/MOH.0b013e32835dd936 [doi],"PURPOSE OF REVIEW: We discuss outcomes after umbilical cord blood (UCB) transplantation (UCBT) for patients with acute myeloid leukemia (AML) and compare these outcomes to results after transplantation of other allogeneic graft sources. RECENT FINDINGS: Survival after UCBT has improved considerably over the past 10 years. Multiple retrospective studies using either myeloablative or reduced intensity conditioning have shown disease-free survival after UCBT that is comparable to that of matched related or unrelated donors. Improved unit selection, conditioning, graft manipulation, and supportive care are all emerging strategies to further improve outcomes, although disease status and center expertise remain key components of successful UCBT outcome. SUMMARY: UCBT should be considered in all high-risk AML patients in whom allogeneic stem cell transplantation is indicated but who lack a matched related or unrelated donor. UCBT can thereby now be thought of as a 'mainstream' treatment of high-risk AML.",,"['Ballen, Karen K', 'Barker, Juliet N']","['Ballen KK', 'Barker JN']","['Massachusetts General Hospital Cancer Center, Boston, Massachusetts 02114, USA. kballen@partners.org']",['eng'],,"['Journal Article', 'Review']",,United States,Curr Opin Hematol,Current opinion in hematology,9430802,,IM,,"['*Cord Blood Stem Cell Transplantation/methods', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Survival Analysis']",,,2013/01/15 06:00,2013/07/10 06:00,['2013/01/15 06:00'],"['2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/07/10 06:00 [medline]']",['10.1097/MOH.0b013e32835dd936 [doi]'],ppublish,Curr Opin Hematol. 2013 Mar;20(2):144-9. doi: 10.1097/MOH.0b013e32835dd936.,,,,,,,,,,,,,
23314834,NLM,MEDLINE,20130809,20131121,1476-5551 (Electronic) 0887-6924 (Linking),27,6,2013 Jun,Azacitidine and donor lymphocyte infusions as first salvage therapy for relapse of AML or MDS after allogeneic stem cell transplantation.,1229-35,10.1038/leu.2013.7 [doi],"The combination of azacitidine and donor lymphocyte infusions (DLI) as first salvage therapy for relapse after allogeneic transplantation (allo-HSCT) was studied in 30 patients with acute myeloid leukemia (AML; n=28) or myelodysplastic syndromes (MDS; n=2) within a prospective single-arm multicenter phase-II trial. Treatment schedule contained up to eight cycles azacitidine (100 mg/m(2)/day, days 1-5, every 28 days) followed by DLI (from 1-5 x 10(6) to 1-5 x 10(8) CD3(+)cells/kg) after every second azacitidine cycle. A median of three courses azacitidine (range 1-8) were administered, and 22 patients (73%) received DLI. Overall response rate was 30%, including seven complete remissions (CRs, 23%) and two partial remissions (7%). Five patients remain in CR for a median of 777 days (range 461-888). Patients with MDS or AML with myelodysplasia-related changes were more likely to respond (P=0.011), and a lower blast count (P=0.039) as well as high-risk cytogenetics (P=0.035) correlated with the likelihood to achieve CR. Incidence of acute and chronic graft-versus-host disease was 37% and 17%, respectively. Neutropenia and thrombocytopenia grade III/IV occurred during 65% and 63% of treatment cycles, while infections were the most common grade III/IV non-hematological toxicity. Azacitidine and DLI as salvage therapy is safe, induces long-term remissions and may become an alternative for patients with AML or MDS relapsing after allo-HSCT.",,"['Schroeder, T', 'Czibere, A', 'Platzbecker, U', 'Bug, G', 'Uharek, L', 'Luft, T', 'Giagounidis, A', 'Zohren, F', 'Bruns, I', 'Wolschke, C', 'Rieger, K', 'Fenk, R', 'Germing, U', 'Haas, R', 'Kroger, N', 'Kobbe, G']","['Schroeder T', 'Czibere A', 'Platzbecker U', 'Bug G', 'Uharek L', 'Luft T', 'Giagounidis A', 'Zohren F', 'Bruns I', 'Wolschke C', 'Rieger K', 'Fenk R', 'Germing U', 'Haas R', 'Kroger N', 'Kobbe G']","['Medical Faculty, Department of Hematology, Oncology and Clinical Immunology, University of Duesseldorf, Medical Faculty, Duesseldorf, Germany. thomas.schroeder@med.uni-duesseldorf.de']",['eng'],,"['Clinical Trial, Phase II', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",20130114,England,Leukemia,Leukemia,8704895,"['0 (Antimetabolites, Antineoplastic)', 'M801H13NRU (Azacitidine)']",IM,,"['Adult', 'Aged', 'Antimetabolites, Antineoplastic/*therapeutic use', 'Azacitidine/*therapeutic use', '*Cell Transplantation', 'Combined Modality Therapy', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/surgery/*therapy', 'Lymphocytes/*cytology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/drug therapy/surgery/*therapy', 'Recurrence', '*Salvage Therapy', '*Stem Cell Transplantation', 'Transplantation, Homologous']",,,2013/01/15 06:00,2013/08/10 06:00,['2013/01/15 06:00'],"['2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/08/10 06:00 [medline]']","['leu20137 [pii]', '10.1038/leu.2013.7 [doi]']",ppublish,Leukemia. 2013 Jun;27(6):1229-35. doi: 10.1038/leu.2013.7. Epub 2013 Jan 14.,,,,,,,,,,,,,
23314345,NLM,MEDLINE,20140831,20211021,1414-431X (Electronic) 0100-879X (Linking),46,1,2013 Jan,Cytogenetic studies of Brazilian pediatric myelodysplastic syndrome cases: challenges and difficulties in a large and emerging country.,85-90,S0100-879X2013005002449 [pii],"Myelodysplastic syndromes (MDS) and juvenile myelomonocytic leukemia (JMML) are rare hematopoietic stem cell diseases affecting children. Cytogenetics plays an important role in the diagnosis of these diseases. We report here the experience of the Cytogenetic Subcommittee of the Brazilian Cooperative Group on Pediatric Myelodysplastic Syndromes (BCG-MDS-PED). We analyzed 168 cytogenetic studies performed in 23 different cytogenetic centers; 84 of these studies were performed in patients with confirmed MDS (primary MDS, secondary MDS, JMML, and acute myeloid leukemia/MDS+Down syndrome). Clonal abnormalities were found in 36.9% of the MDS cases and cytogenetic studies were important for the detection of constitutional diseases and for differential diagnosis with other myeloid neoplasms. These data show the importance of the Cooperative Group for continuing education in order to avoid a late or wrong diagnosis.",,"['Velloso, E D R P', 'Chauffaille, M L', 'Pelicario, L M', 'Tanizawa, R S S', 'Toledo, S R C', 'Gaiolla, R D', 'Lopes, L F']","['Velloso ED', 'Chauffaille ML', 'Pelicario LM', 'Tanizawa RS', 'Toledo SR', 'Gaiolla RD', 'Lopes LF']","['Departamento de Hematologia, Faculdade de Medicina, Universidade de Sao Paulo, Sao Paulo, SP, Brasil.']",['eng'],,['Journal Article'],20130111,Brazil,Braz J Med Biol Res,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas,8112917,,IM,,"['Brazil', 'Child', 'Child, Preschool', 'Cytogenetics/*methods', 'Humans', 'Karyotyping', 'Myelodysplastic Syndromes/diagnosis/*genetics/mortality', 'Survival Analysis']",PMC3854346,,2013/01/15 06:00,2014/09/01 06:00,['2013/01/15 06:00'],"['2012/07/15 00:00 [received]', '2012/10/18 00:00 [accepted]', '2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2014/09/01 06:00 [medline]']","['S0100-879X2013005002449 [pii]', '10.1590/1414-431x20122449 [doi]']",ppublish,Braz J Med Biol Res. 2013 Jan;46(1):85-90. doi: 10.1590/1414-431x20122449. Epub 2013 Jan 11.,,,,,,,,,,,,,
23314152,NLM,MEDLINE,20130806,20211021,1476-928X (Electronic) 1476-9271 (Linking),43,,2013 Apr,On the geometric modeling approach to empirical null distribution estimation for empirical Bayes modeling of multiple hypothesis testing.,17-22,10.1016/j.compbiolchem.2012.12.001 [doi] S1476-9271(12)00092-8 [pii],"We study the geometric modeling approach to estimating the null distribution for the empirical Bayes modeling of multiple hypothesis testing. The commonly used method is a nonparametric approach based on the Poisson regression, which however could be unduly affected by the dependence among test statistics and perform very poorly under strong dependence. In this paper, we explore a finite mixture model based geometric modeling approach to empirical null distribution estimation and multiple hypothesis testing. Through simulations and applications to two public microarray data, we will illustrate its competitive performance.",['Copyright (c) 2012 Elsevier Ltd. All rights reserved.'],"['Wu, Baolin']",['Wu B'],"['Division of Biostatistics, School of Public Health, University of Minnesota, Minneapolis, MN 55455, USA. baolin@umn.edu']",['eng'],"['R01 CA134848/CA/NCI NIH HHS/United States', 'R01 GM083345/GM/NIGMS NIH HHS/United States', 'CA134848/CA/NCI NIH HHS/United States', 'GM08.345/GM/NIGMS NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural']",20121222,England,Comput Biol Chem,Computational biology and chemistry,101157394,,IM,,"['*Bayes Theorem', 'Computer Simulation', 'Humans', 'Leukemia/genetics', 'Male', '*Models, Statistical', 'Oligonucleotide Array Sequence Analysis', 'Prostatic Neoplasms/genetics']",PMC3580033,['NIHMS431200'],2013/01/15 06:00,2013/08/07 06:00,['2013/01/15 06:00'],"['2012/09/14 00:00 [received]', '2012/11/26 00:00 [revised]', '2012/12/03 00:00 [accepted]', '2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/08/07 06:00 [medline]']","['S1476-9271(12)00092-8 [pii]', '10.1016/j.compbiolchem.2012.12.001 [doi]']",ppublish,Comput Biol Chem. 2013 Apr;43:17-22. doi: 10.1016/j.compbiolchem.2012.12.001. Epub 2012 Dec 22.,,,,,,,,,,,,,
23314098,NLM,MEDLINE,20131211,20180508,1537-2677 (Electronic) 0740-9303 (Linking),29,3,2013 May-Jun,"Orbital myeloid sarcoma in an adult with acute myeloid leukemia, FAB M1, and 12p-deletion.",e73-5,10.1097/IOP.0b013e318272d497 [doi],"A 49-year-old woman with acute myeloid leukemia, FAB M1 subtype, and 12p deletion, presented with progressive right proptosis and diplopia for 1 week. Orbital CT revealed a homogenously enhancing, orbital mass engulfing the inferior rectus muscle. Histopathology revealed myeloid sarcoma for which she underwent external beam radiotherapy. Subsequently, there was no sign of local recurrence, but she succumbed to leukemia involving the central nervous system. This is the first case, to the authors' knowledge, of an orbital sarcoma of FAB M1 myeloblasts bearing a 12p deletion.",,"['Ple-plakon, Patricia A', 'Demirci, Hakan', 'Cheng, Jason X', 'Elner, Victor M']","['Ple-plakon PA', 'Demirci H', 'Cheng JX', 'Elner VM']","['Department of Ophthalmology and Visual Sciences, University of Michigan, Ann Arbor, Michigan 48105, USA.']",['eng'],,"['Case Reports', 'Journal Article']",,United States,Ophthalmic Plast Reconstr Surg,Ophthalmic plastic and reconstructive surgery,8508431,"['0 (Biomarkers, Tumor)', '0 (Ki-67 Antigen)', '0 (Neoplasm Proteins)', '0 (Sialic Acid Binding Ig-like Lectin 3)', 'Chromosome 12p deletion']",IM,,"['Biomarkers, Tumor/metabolism', '*Chromosome Deletion', 'Chromosomes, Human, Pair 12/*genetics', 'Diplopia/diagnosis', 'Exophthalmos/diagnosis', 'Fatal Outcome', 'Female', 'Humans', 'Immunoenzyme Techniques', 'Ki-67 Antigen/metabolism', 'Leukemia, Myeloid, Acute/*genetics/*pathology/radiotherapy', 'Middle Aged', 'Neoplasm Proteins/metabolism', 'Neoplasms, Second Primary/*pathology', 'Orbital Neoplasms/diagnostic imaging/*pathology/radiotherapy', 'Sarcoma, Myeloid/diagnostic imaging/*pathology/radiotherapy', 'Sialic Acid Binding Ig-like Lectin 3/metabolism', 'Tomography, X-Ray Computed']",,,2013/01/15 06:00,2013/12/16 06:00,['2013/01/15 06:00'],"['2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/12/16 06:00 [medline]']",['10.1097/IOP.0b013e318272d497 [doi]'],ppublish,Ophthalmic Plast Reconstr Surg. 2013 May-Jun;29(3):e73-5. doi: 10.1097/IOP.0b013e318272d497.,,,,,,,,,,,,,
23314054,NLM,MEDLINE,20130813,20131121,1768-3254 (Electronic) 0223-5234 (Linking),60,,2013 Feb,"Fragment-based design, synthesis, and biological evaluation of N-substituted-5-(4-isopropylthiophenol)-2-hydroxynicotinamide derivatives as novel Mcl-1 inhibitors.",410-20,10.1016/j.ejmech.2012.12.016 [doi] S0223-5234(12)00738-6 [pii],"We have previously reported a nanomolar inhibitor of antiapoptotic Mcl-1 protein, 3-thiomorpholin-8-oxo-8H-acenaphtho [1,2-b] pyrrole-9-carbonitrile (S1). S1 plays its function by binding to the BH3 groove of Mcl-1. Basing on this spacial structural characteristic, we developed a novel class of Mcl-1 inhibitor using fragment-based drug discovery approach. By dissecting S1, we identified the compound 4 with a 2-hydroxypyridine core as the starting fragment. In the following molecular growth, we used the ligand efficiency evaluation and fit quality score to assess the fragments. A novel potent compound, N-benzyl-5-(4-isopropylthiophenol)-2-hydroxyl nicotinamide (12c), which binds Mcl-1 with an IC(50) value of 54 nM was obtained. Compound 12c demonstrated a better aqueous solubility than S1.",['Copyright (c) 2012 Elsevier Masson SAS. All rights reserved.'],"['Zhang, Zhichao', 'Liu, Chengwu', 'Li, Xiangqian', 'Song, Ting', 'Wu, Zhiyong', 'Liang, Xiaomeng', 'Zhao, Yan', 'Shen, Xiaoyun', 'Chen, Hongbo']","['Zhang Z', 'Liu C', 'Li X', 'Song T', 'Wu Z', 'Liang X', 'Zhao Y', 'Shen X', 'Chen H']","['State Key Laboratory of Fine Chemicals, School of Chemistry, Dalian University of Technology, No.2 Linggong Road, Dalian 116012, PR China. zczhang@dlut.edu.cn']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20121217,France,Eur J Med Chem,European journal of medicinal chemistry,0420510,"['0 (Antineoplastic Agents)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Proto-Oncogene Proteins c-bcl-2)', '25X51I8RD4 (Niacinamide)']",IM,,"['Antineoplastic Agents/chemical synthesis/chemistry/*pharmacology', 'Apoptosis/drug effects', 'Cell Proliferation/drug effects', 'Dose-Response Relationship, Drug', '*Drug Design', 'Drug Screening Assays, Antitumor', 'Humans', 'Molecular Structure', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Niacinamide/chemical synthesis/chemistry/*pharmacology', 'Proto-Oncogene Proteins c-bcl-2/*antagonists & inhibitors', 'Structure-Activity Relationship', 'Tumor Cells, Cultured']",,,2013/01/15 06:00,2013/08/14 06:00,['2013/01/15 06:00'],"['2012/04/11 00:00 [received]', '2012/10/29 00:00 [revised]', '2012/12/09 00:00 [accepted]', '2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/08/14 06:00 [medline]']","['S0223-5234(12)00738-6 [pii]', '10.1016/j.ejmech.2012.12.016 [doi]']",ppublish,Eur J Med Chem. 2013 Feb;60:410-20. doi: 10.1016/j.ejmech.2012.12.016. Epub 2012 Dec 17.,,,,,,,,,,,,,
23313938,NLM,MEDLINE,20130514,20211021,1521-0111 (Electronic) 0026-895X (Linking),83,4,2013 Apr,"Inhibitors of PI(4,5)P2 synthesis reveal dynamic regulation of IgE receptor signaling by phosphoinositides in RBL mast cells.",793-804,10.1124/mol.112.082834 [doi],"Phosphatidylinositol 4,5-bisphosphate (PI(4,5)P2) is a versatile phospholipid that participates in many membrane-associated signaling processes. PI(4,5)P2 production at the plasma membrane (PM) depends on levels of its precursor, phosphatidylinositol 4-phosphate (PI4P), synthesized principally by two intracellular enzymes, PI4-kinases IIIalpha and IIIb; the former is preferentially inhibited by phenylarsine oxide (PAO). We found that PAO and quercetin, another lipid kinase inhibitor, rapidly inhibit Ca(2+) responses to antigen in IgE-sensitized rat basophilic leukemia mast cells. Quercetin also rapidly inhibits store-operated Ca(2+) influx stimulated by thapsigargin. In addition, quercetin and PAO effectively inhibit antigen-stimulated ruffling and spreading in these cells, and they inhibit endocytosis of crosslinked IgE receptor complexes, evidently by inhibiting pinching off of endocytic vesicles containing the clustered IgE receptors. A minimal model to account for these diverse effects is inhibition of PI(4,5)P2 synthesis by PAO and quercetin. To characterize the direct effects of these agents on PI(4,5)P2 synthesis, we monitored the reappearance of the PI(4,5)P2-specific PH domain PH-phospholipase C delta-EGFP at the PM after Ca(2+) ionophore (A23187)-induced PI(4,5)P2 hydrolysis, followed by Ca(2+) chelation with excess EGTA. Resynthesized PI(4,5)P2 initially appears as micron-sized patches near the PM. Addition of quercetin subsequent to A23187-induced PI(4,5)P2 hydrolysis reduces PI(4,5)P2 resynthesis in PM-associated patches, and PAO reduces PI(4,5)P2 at the PM while enhancing PI(4,5)P2 accumulation at the Golgi complex. Taken together, these results provide evidence that PI4P generated by PI4-kinase IIIalpha is dynamically coupled to PI(4,5)P2 pools at the PM that are important for downstream signaling processes activated by IgE receptors.",,"['Santos, Marcela de Souza', 'Naal, Rose Mary Zumstein Georgetto', 'Baird, Barbara', 'Holowka, David']","['Santos Mde S', 'Naal RM', 'Baird B', 'Holowka D']","['Departamento de Fisica e Quimica, Faculdade de Ciencias Farmaceuticas de Ribeirao Preto, Universidade de Sao Paulo, SaoPaulo, Brazil.']",['eng'],"['R01 AI022449/AI/NIAID NIH HHS/United States', 'R01AI022449/AI/NIAID NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20130111,United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Arsenicals)', '0 (Phosphatidylinositol 4,5-Diphosphate)', '0 (Phosphatidylinositols)', '0 (Receptors, IgE)', '0HUR2WY345 (oxophenylarsine)', '9IKM0I5T1E (Quercetin)']",IM,,"['Animals', 'Arsenicals/pharmacology', 'Cell Line, Tumor', 'Mast Cells/drug effects/*metabolism/physiology', 'Phosphatidylinositol 4,5-Diphosphate/*antagonists & inhibitors/*biosynthesis', 'Phosphatidylinositols/antagonists & inhibitors/biosynthesis', 'Quercetin/pharmacology', 'Rats', 'Receptors, IgE/metabolism/*physiology', 'Signal Transduction/drug effects/*physiology']",PMC3608441,,2013/01/15 06:00,2013/05/15 06:00,['2013/01/15 06:00'],"['2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/05/15 06:00 [medline]']","['mol.112.082834 [pii]', '10.1124/mol.112.082834 [doi]']",ppublish,Mol Pharmacol. 2013 Apr;83(4):793-804. doi: 10.1124/mol.112.082834. Epub 2013 Jan 11.,,,,,,,,,,,,,
23313659,NLM,MEDLINE,20130930,20211203,1873-2933 (Electronic) 0009-9120 (Linking),46,7-8,2013 May,RAS mutation analysis in a large cohort of Chinese patients with acute myeloid leukemia.,579-83,10.1016/j.clinbiochem.2012.12.022 [doi] S0009-9120(13)00005-2 [pii],"OBJECTIVE: We examined RAS mutational status and correlated this with presenting morphology, cytogenetics, clinical outcome and other gene aberrations in a large cohort of Chinese acute myeloid leukemia (AML) patients. DESIGNS AND METHODS: N-RAS and K-RAS were screened for mutations at hot-spot codons 12, 13 and 61 using high resolution melting analysis (HRMA) and direct DNA sequencing in 504 Chinese AML patients and their clinical relevance was analyzed. RESULTS: The frequencies of mutations of N-RAS and K-RAS were 9.7% (49/504) and 2.9% (15/504), respectively. c.35G>A (rs121913237: G>A; p.Gly12Asp and rs121913529: G>A; p.Gly12Asp) and c.38G>A (rs121434596: G>A; p.Gly13Asp and rs112445441: G>A; p.Gly13Asp) were the most common base substitutions (46% in N-RAS and 60% in K-RAS, respectively). AML patients with RAS mutations presented significantly higher white blood cell count (WBC) at diagnosis than those without mutations (p<0.001). RAS mutations were underrepresented in patients with t(15;17) (2.9%, p=0.01), while overrepresented in cases with abn11q23 (50%, p=0.002) and inv(16) (66.6%, p=0.04). In the FAB subtypes M4 and M5, RAS mutations were more frequent (21.6% and 20.6%, respectively) than they were in other subtypes (7.5%, p=0.006 and 0.005, respectively). FLT3-ITD and RAS mutation were rarely coexistent (p=0.03). RAS mutation didn't influence overall survival (OS) either in the entire cohort or within some defined subgroups. CONCLUSIONS: RAS mutations are associated with some biologically specific subtypes of AML but don't impact clinical outcome in Chinese patients.","['Copyright (c) 2013 The Canadian Society of Clinical Chemists. Published by', 'Elsevier Inc. All rights reserved.']","['Yang, Xiaofei', 'Qian, Jun', 'Sun, Aining', 'Lin, Jiang', 'Xiao, Gaofei', 'Yin, Jia', 'Chen, Suning', 'Wu, Depei']","['Yang X', 'Qian J', 'Sun A', 'Lin J', 'Xiao G', 'Yin J', 'Chen S', 'Wu D']","['The First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key laboratory of Thrombosis and Hemostasis of Ministry of Health, Suzhou, Jiangsu Province, 215006, PR China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20130111,United States,Clin Biochem,Clinical biochemistry,0133660,['0 (Codon)'],IM,,"['Adolescent', 'Adult', 'Aged', 'Asians/genetics', 'China/epidemiology', 'Codon', 'Cohort Studies', 'DNA Mutational Analysis', 'Female', '*Genes, ras', 'Humans', 'Kaplan-Meier Estimate', 'Leukemia, Myeloid, Acute/diagnosis/*genetics/mortality', 'Male', 'Middle Aged', 'Mutation', 'Prognosis']",,,2013/01/15 06:00,2013/10/01 06:00,['2013/01/15 06:00'],"['2012/11/12 00:00 [received]', '2012/12/26 00:00 [revised]', '2012/12/29 00:00 [accepted]', '2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/10/01 06:00 [medline]']","['S0009-9120(13)00005-2 [pii]', '10.1016/j.clinbiochem.2012.12.022 [doi]']",ppublish,Clin Biochem. 2013 May;46(7-8):579-83. doi: 10.1016/j.clinbiochem.2012.12.022. Epub 2013 Jan 11.,,,,,,,,,,,,,
23313631,NLM,MEDLINE,20130816,20130307,1096-0961 (Electronic) 1079-9796 (Linking),50,4,2013 Apr,Circulating microenvironment of CLL: are nurse-like cells related to tumor-associated macrophages?,263-70,10.1016/j.bcmd.2012.12.003 [doi] S1079-9796(12)00234-3 [pii],"B-cell chronic lymphocytic leukemia (B-CLL) is one of the most common hematologic malignancies in Western countries. Accumulation of leukemic lymphocytes in peripheral blood, bone marrow and secondary lymphatic organs of CLL patients is due to decreased apoptosis rather than to increased proliferation. The former is driven by signals from a specific microenvironment, created by stromal cells of mesenchymal origin, follicular dendritic cells, T lymphocytes and others. Nurse-like cells (NLCs) were first described to differentiate from peripheral blood mononuclear cells of CLL patients in vitro, then they have been also found in proliferation centers of their lymphatic tissues. Like tumor-associated macrophages (TAMs) in solid tumors, nurse-like cells promote survival of CLL lymphocytes. NLC gene expression patterns suggest their similarity to TAMs and differ between patients depending on ZAP70 protein expression status. NLC number in vitro corresponds with CD14 expressing cell count and beta-2-microglobulin serum level, and positively correlates with leukemic lymphocyte viability. As NLCs strongly express genes for adhesion molecules and secrete chemokines of antiapoptotic activity, they should be considered as a target for anti-microenvironment therapy of this incurable disease.",['Copyright (c) 2012 Elsevier Inc. All rights reserved.'],"['Filip, Agata A', 'Cisel, Bogumila', 'Koczkodaj, Dorota', 'Wasik-Szczepanek, Ewa', 'Piersiak, Tomasz', 'Dmoszynska, Anna']","['Filip AA', 'Cisel B', 'Koczkodaj D', 'Wasik-Szczepanek E', 'Piersiak T', 'Dmoszynska A']","['Department of Cancer Genetics, Medical University of Lublin, Radziwillowska 11, 20-080 Lublin, Poland. aafilip@hotmail.com']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20130111,United States,Blood Cells Mol Dis,"Blood cells, molecules & diseases",9509932,,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Apoptosis', 'Cell Survival/genetics/immunology', 'Female', 'Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics/immunology/mortality/*pathology', 'Leukocyte Count', 'Macrophages/immunology/metabolism/*pathology', 'Male', 'Middle Aged', 'Neoplasm Staging', 'Phagocytosis/immunology', 'Prognosis', 'Transcriptome', '*Tumor Microenvironment/genetics/immunology']",,,2013/01/15 06:00,2013/08/21 06:00,['2013/01/15 06:00'],"['2012/11/29 00:00 [received]', '2012/12/12 00:00 [accepted]', '2013/01/15 06:00 [entrez]', '2013/01/15 06:00 [pubmed]', '2013/08/21 06:00 [medline]']","['S1079-9796(12)00234-3 [pii]', '10.1016/j.bcmd.2012.12.003 [doi]']",ppublish,Blood Cells Mol Dis. 2013 Apr;50(4):263-70. doi: 10.1016/j.bcmd.2012.12.003. Epub 2013 Jan 11.,,,,,,,,,,,,,
